Province,Area
Araba/Álava,2963
Albacete,14918
Alicante,5817
Almería,8775
Asturias,10604
Ávila,8050
Badajoz,21766
Barcelona,7728
Bizkaia,2217
Burgos,14022
Cáceres,19868
Cádiz,7436
Cantabria,5253
Castellón,6632
Ciudad Real,19813
Córdoba,13771
Cuenca,17141
Girona,5910
Granada,12647
Guadalajara,12167
Gipuzkoa,1909
Huelva,10128
Huesca,15626
Illes Balears,4992
Jaén,13489
A Coruna,7950
La Rioja,5028
Las Palmas,4066
León,15570
Lleida,12150
Lugo,9856
Madrid,8022
Málaga,7308
Murcia,11313
Navarra,9801
Ourense,7273
Palencia,8052
Pontevedra,4495
Salamanca,12349
Segovia,6796
Sevilla,14036
Soria,10303
Tarragona,6303
Santa Cruz,3381
Teruel,14918
Toledo,15370
Valencia,10806
Valladolid,8110
Zamora,10561
Zaragoza,17274
Ceuta,19
Melilla,13

